formula,No,S_Phase,Phase,delta,Tm,D_Tm (K),?Hmix (kJ/mol),elec_diff,VEC,modulus_calc,D_Bulk (GPa),Tm,composition_norm
Cu5Ce,2,IM,IM,0.103459862,1309.475,107.990903,3.478327965,1.77,9.833333333,120.3333333,43.97600356,0,CeCu5
CuDy,2,IM,IM,0.162516383,1518.885,161.115,0.0,1.56,11.5,90.5,49.5,0,CuDy
CuEr,2,IM,IM,0.157547792,1579.885,222.115,0.0,1.57,12.5,92.0,48.0,0,CuEr
Cu3Ge,2,IM,IM,0.012971606,1321.1775,63.38006918,1.244911518,1.9275,9.25,105.0,60.62177826,0,Cu3Ge
Cu51Hf14,2,IM,IM,0.091855546,1605.081077,472.0246064,2.264443064,1.770769231,9.492307692,133.5384615,12.33266697,0,Cu51Hf14
Cu11In9,2,IM,IM,0.099859939,940.161,461.6841207,0.049749372,1.846,7.4,77.0,69.6491206,0,Cu11In9
Cu2In,2,IM,IM,0.096892183,1048.43,437.4728234,0.523782801,1.86,8.333333333,93.33333333,65.99663291,0,Cu2In
Cu4In,2,IM,IM,0.084532374,1172.166,371.208,1.44,1.876,9.4,112.0,56.0,0,Cu4In
Cu9In4,2,IM,IM,0.095366926,1072.225385,428.3169231,0.682749203,1.863076923,8.538461538,96.92307692,64.61538462,0,Cu9In4
Cu2Mg,2,IM,IM,0.109884768,1212.846667,204.9525435,0.15713484,1.703333333,8.0,108.3333333,44.78342948,0,Cu2Mg
CuMg2,2,IM,IM,0.101962272,1067.923333,204.9525435,0.15713484,1.506666667,5.0,76.66666667,44.78342948,0,CuMg2
Cu2Sb,2,IM,IM,0.018924114,1206.44,214.0129384,0.366647961,1.95,9.0,107.3333333,46.19764304,0,Cu2Sb
Cu3Sb,2,IM,IM,0.017441255,1244.2725,196.5834365,0.757772228,1.9375,9.5,115.5,42.43524479,0,Cu3Sb
Cu0.76Si0.24,2,IM,IM,0.042776756,1436.7852,140.6085789,2.194182289,1.9,9.32,130.4,17.0833252,0,Cu0.76Si0.24
Cu10Sn3,2,IM,IM,0.106191108,1160.995385,359.259652,0.855115326,1.913846154,9.384615385,121.0769231,34.54865363,0,Cu10Sn3
Cu17Sn3,2,IM,IM,0.091866716,1229.8665,304.4712303,1.224754975,1.909,9.95,127.7,29.27985656,0,Cu17Sn3
Cu2Ti,2,IM,IM,0.064762393,1552.18,274.9372587,0.471404521,1.78,8.666666667,130.0,14.14213562,0,Cu2Ti
Cu3Ti2,2,IM,IM,0.066692233,1591.062,285.7231805,0.176363261,1.756,8.2,128.0,14.69693846,0,Cu3Ti2
Cu4Ti3,2,IM,IM,0.067108307,1607.725714,288.6239979,0.090894795,1.745714286,8.0,127.1428571,14.84614978,0,Cu4Ti3
Cu51Zr14,2,IM,IM,0.09911268,1523.665692,316.6330026,3.063658263,1.777230769,9.492307692,109.8461538,57.55244585,0,Cu51Zr14
CuZr,2,AM,AM,0.112808053,1742.885,385.115,0.0,1.615,7.5,70.0,70.0,0,CuZr
Dy4Sb3,2,IM,IM,0.138739051,1347.334286,384.1292794,0.676661248,1.575714286,9.0,41.42857143,0.494871659,0,Dy4Sb3
Dy5Sb3,2,IM,IM,0.13371731,1388.9175,375.7858916,2.02726472,1.53125,9.375,41.375,0.484122918,0,Dy5Sb3
Fe2Si,2,IM,IM,0.034236807,1769.666667,58.45416058,1.833239803,1.853333333,6.666666667,146.6666667,32.99831646,0,Fe2Si
FeSi2,2,IM,IM,0.036758563,1749.0,62.0,0.0,1.865,6.0,135.0,35.0,0,FeSi2
Fe3W2,2,IM,IM,0.047798623,2564.6,922.9677351,0.0,2.042,7.2,226.0,68.5857128,0,Fe3W2
HfB2,2,IM,IM,0.314077936,2401.333333,74.01050976,3.456966486,1.793333333,3.333333333,186.0,53.74011537,0,B2Hf
HfW2,2,IM,IM,0.069202009,3298.666667,560.4999752,0.314269681,2.006666667,5.333333333,243.3333333,94.28090416,0,HfW2
MgCu,2,AM,AM,0.112191733,1140.385,217.385,0.0,1.605,6.5,92.5,47.5,0,CuMg
Mg2Ni,2,IM,IM,0.112870012,1191.333333,379.4806392,0.20951312,1.51,4.666666667,90.0,63.63961031,0,Mg2Ni
Mg50Ni50,2,AM,AM,0.124692659,1325.5,402.5,0.0,1.61,6.0,112.5,67.5,0,Mg50Ni50
MgNi2,2,IM,IM,0.122659618,1459.666667,379.4806392,0.20951312,1.71,7.333333333,135.0,63.63961031,0,MgNi2
Mg6Pd,2,IM,IM,0.050412957,1052.292857,316.7015274,7.141369512,1.437142857,3.142857143,64.28571429,47.24015933,0,Mg6Pd
Mg2Sm1,2,IM,IM,0.017161374,1063.666667,198.9327078,0.314269681,1.263333333,4.0,42.66666667,3.299831646,0,Mg2Sm1
Mg3Sm1,2,IM,IM,0.015811697,1028.5,182.7313602,0.649519053,1.275,3.5,43.25,3.031088913,0,Mg3Sm1
Mg17Sr2,2,IM,IM,0.101927429,936.3684211,38.97531003,0.76510522,1.272105263,2.0,40.26315789,13.81014922,0,Mg17Sr2
MgZn2,2,IM,IM,0.066346617,769.4533333,108.5738892,0.20951312,1.536666667,8.666666667,61.66666667,11.78511302,0,MgZn2
Mo3Si,2,IM,IM,0.093479755,2593.75,523.5123566,3.788861142,2.095,5.5,197.5,56.29165125,0,Mo3Si
Mo5Si3,2,IM,IM,0.107412088,2442.625,585.3046082,1.059018884,2.0625,5.25,181.25,62.93597938,0,Mo5Si3
MoSi2,2,IM,IM,0.111826791,2090.0,569.9280656,1.833239803,1.986666667,4.666666667,143.3333333,61.2825877,0,MoSi2
NaZn13,2,IM,IM,0.08385003,669.6988571,82.85968894,1.13527562,1.598571429,11.21428571,65.45,16.4052583,0,NaZn13
Ni50Nb50,2,AM,AM,0.068411215,2239.0,511.0,0.0,1.755,7.5,175.0,5.0,0,Nb50Ni50
Ni3Sn,2,IM,IM,0.120900896,1422.27,529.5398934,0.433012702,1.9225,8.5,149.5,52.82754963,0,Ni3Sn
